,CustomerID,InvoiceNo,CountryType,Quantity,Weekday,Hour,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,sum,Delivery_Charges,Extra_Charges,Other Purchases,AvgPricePerInvoice,AvgQuantityPerInvoice,AvgDeliveryPerInvoice,AvgExtraChargePerInvoice,AvgOtherPurchasePerInvoice,FirstPurchase,LastPurchase,AvgDaysPerInvoice,DaysSinceLastPurchase,RegisteredMember
0,12347,7,0,2458,1.7142857142857142,12.285714285714286,1020.18,754.9799999999999,1229.9,996.5499999999998,308.39,0.0,4310.0,0,0,0,615.7142857142857,351.14285714285717,0.0,0.0,0.0,2010-12-07 14:57:00,2011-12-07 15:52:00,52,1,1
1,12348,4,0,2332,2.75,13.0,0.0,17.0,312.24,913.5999999999999,194.4,0.0,1437.24,360,0,360,359.31,583.0,90.0,0.0,90.0,2010-12-16 19:09:00,2011-09-25 13:13:00,70,74,1
2,12349,1,0,630,0.0,9.0,242.99,103.53,469.15000000000015,387.99,253.89,0.0,1457.55,300,0,300,1457.55,630.0,300.0,0.0,300.0,2011-11-21 09:51:00,2011-11-21 09:51:00,0,18,1
3,12350,1,0,196,2.0,16.0,15.0,25.20000000000001,152.7,33.70000000000001,67.80000000000001,0.0,294.40000000000003,40,0,40,294.40000000000003,196.0,40.0,0.0,40.0,2011-02-02 16:01:00,2011-02-02 16:01:00,0,309,1
4,12352,7,0,526,1.8571428571428572,14.285714285714286,158.3,167.78000000000003,129.15,613.66,316.85,0.0,1385.74,280,0,280,197.96285714285713,75.14285714285714,40.0,0.0,40.0,2011-02-16 12:33:00,2011-11-03 14:37:00,37,35,1
5,12353,1,0,20,3.0,17.0,0.0,31.5,0.0,57.5,0.0,0.0,89.0,0,0,0,89.0,20.0,0.0,0.0,0.0,2011-05-19 17:47:00,2011-05-19 17:47:00,0,203,1
6,12354,1,0,530,3.0,13.0,96.15,81.8,431.07,317.08000000000004,153.29999999999998,0.0,1079.4,0,0,0,1079.4,530.0,0.0,0.0,0.0,2011-04-21 13:11:00,2011-04-21 13:11:00,0,231,1
7,12355,1,0,240,0.0,13.0,51.0,0.0,85.2,323.2,0.0,0.0,459.4,0,0,0,459.4,240.0,0.0,0.0,0.0,2011-05-09 13:49:00,2011-05-09 13:49:00,0,213,1
8,12356,3,0,1573,2.6666666666666665,9.666666666666666,90.4,147.92000000000002,1222.8799999999999,907.4799999999999,118.75000000000001,0.0,2487.4300000000003,324,0,324,829.1433333333334,524.3333333333334,108.0,0.0,108.0,2011-01-18 09:50:00,2011-11-17 08:40:00,100,22,1
9,12357,1,0,2708,6.0,16.0,952.2800000000001,384.0,2067.3600000000006,2220.719999999999,583.31,0.0,6207.669999999996,0,0,0,6207.669999999996,2708.0,0.0,0.0,0.0,2011-11-06 16:07:00,2011-11-06 16:07:00,0,32,1
