Id,SalePrice
2,127575.2472093352
4,230603.87879896234
6,184008.82733458336
7,271589.414355094
17,240146.76046923804
18,338052.29576678737
22,186620.7222463539
27,106787.40300027201
31,92224.21687972406
36,139857.18629210134
39,348969.6157743158
40,310029.0801120654
42,334190.61341567675
46,252720.31996435788
53,181679.77260487198
58,198032.22037094418
61,311715.76286923455
72,216341.5241814481
79,116921.7757392726
80,214113.28343344125
82,170239.00416548701
83,91096.92986932944
85,147873.3470303319
88,129476.04524703804
92,299065.7668147757
93,290675.52520977636
95,200298.0639272452
102,168628.85799920326
103,182322.67904227416
106,254160.93975771233
107,164848.6929713983
110,233754.2139724412
114,199578.9631541266
116,179095.04550656484
117,171292.91298859057
118,142735.93392364087
125,161768.94353398436
126,153367.95472416334
127,128242.65858342324
128,201002.071883793
134,139966.06266327293
135,174167.93404203095
137,242168.99513003556
143,144859.9617161156
147,137051.62295974052
148,176007.53485769208
150,134526.7579318748
156,136669.7696820842
157,127699.74043163314
159,140926.32957522245
161,277406.08829939377
167,139236.86676672817
170,97166.03432771856
171,81674.20901669346
175,81013.03260650387
179,154288.10876628643
181,106416.62588362674
186,208614.699693045
193,207133.24975073678
194,81269.16725183361
206,91958.44180537504
208,133902.1201399338
210,172688.74935352177
211,105131.90041622033
212,103448.06706825031
214,85271.35126124817
215,125143.80630616235
217,126770.61562991951
222,149174.86840340664
227,139985.4448315879
228,164152.3614810402
233,228011.27396657717
235,86081.68344338906
238,124572.65678382898
241,181039.005399311
252,211572.71361045964
253,210315.91108599168
256,166202.73109935044
257,154694.28607337706
258,210725.79386241632
259,190883.13257310435
261,171753.44356960233
263,130743.77098877891
266,227198.92026981886
267,232099.11330145752
270,137438.5014828013
271,250382.35062878896
276,133944.6899514672
285,144788.9490013814
288,25221.100607160653
289,132621.1109671275
290,126991.2833363484
291,181812.55723369482
292,121855.45158015995
293,196085.72551427892
294,237192.36715249374
295,193808.02876556801
304,113217.1952182144
322,307530.34367592155
326,176890.40745259347
327,74125.4688297309
328,109306.63559011459
331,98251.7640055624
332,69412.85119446764
333,78257.17450710526
335,160450.30288373624
337,185131.20542034967
342,138889.3683968721
343,179068.62726734858
347,205982.24151025337
350,337355.4534049607
352,278243.4985118058
358,183070.81419977034
359,170975.1058014882
360,168450.14986833103
368,341866.72053433245
369,295404.78100714076
373,195594.35846989346
377,257926.75613281404
383,172176.42612985737
386,255598.11427435826
387,254263.83877558546
390,182220.21860124526
391,169554.61886141746
395,167423.37603832263
397,145862.19280491085
398,109944.27974972349
401,112652.11943112197
404,111158.50737398105
408,113756.86258326341
409,136759.0853179788
410,143292.63314906816
418,148400.47628271612
422,377445.520256329
427,335405.9059841879
431,374053.8629191125
433,407878.7678315049
437,349727.117993396
438,315996.00037081505
442,343254.90229987603
447,286203.810788347
459,319635.9991343349
460,296597.74843531597
464,242096.77529205533
465,196538.0308023445
467,179281.90088606553
468,182887.3520012069
474,180958.1706742915
480,202622.4046917701
481,195721.4314596299
483,248232.40367010693
488,189774.9239547281
492,192050.04174595722
494,202268.9813434795
499,315901.64383588254
500,279549.6851928954
501,299578.4853311083
503,263309.117391833
506,268441.9350151262
508,263083.21007129154
511,262075.09819432805
515,241797.08974800652
519,249416.46147145046
521,281333.55354005867
530,250691.15802414404
532,238096.49981833497
534,207807.10538751708
540,197320.9173892644
541,160294.301765899
551,171842.5839512348
552,186735.2017980475
554,98925.04521903806
555,126909.9485318357
556,140891.39247661352
557,124267.63475901488
565,260700.97022826638
566,269612.7684009092
567,160428.85688805152
569,204141.83967667155
570,179648.1061309869
574,219038.67623637035
575,265013.5808198055
576,188224.15496299285
577,231441.85424786672
578,276157.8320819495
583,216253.0577524533
584,217109.45991611283
585,160780.61763708157
587,180737.4904248702
593,232311.26421908475
597,210096.37466722142
598,171037.0775875027
599,163965.51134516054
600,109546.57583269157
605,144786.10224694558
607,148193.658313021
608,144991.85486552035
611,170554.00381544838
616,120731.04569910181
625,168756.70190547814
629,164763.1188935749
630,107529.86694569241
631,140307.7211136451
640,165088.8355432469
642,143479.0817396317
643,153899.01781500946
646,108484.22411738678
647,151624.78535051277
655,78162.29614296877
659,110134.12532909343
663,33165.82740206708
665,101576.25943594692
667,211625.30628985935
673,149509.01246804735
676,143815.8083752829
680,154164.75505712559
682,146399.31173321418
687,166091.79689025166
688,173793.88368688352
692,136560.15763975622
693,99803.45635861954
695,141089.49262365472
697,121289.1586236655
700,130607.03194228743
702,145780.39715474748
703,168843.8161001486
704,108497.30963798199
712,100948.21799701125
713,90429.44874224397
